Time, Real_Position, Real_Velocity, Learned_Position, Learned_Velocity
2.002002000808715820e-01,9.634487628936767578e-01,-3.740225136280059814e-01,9.491044878959655762e-01,-4.597400426864624023e-01
2.102102041244506836e-01,9.597048163414001465e-01,-3.910643756389617920e-01,9.436401724815368652e-01,-4.800651669502258301e-01
2.202202081680297852e-01,9.557902812957763672e-01,-4.079289436340332031e-01,9.379197359085083008e-01,-5.000987052917480469e-01
2.302302122116088867e-01,9.517068862915039062e-01,-4.246138632297515869e-01,9.319466352462768555e-01,-5.198360681533813477e-01
2.402402311563491821e-01,9.474564790725708008e-01,-4.411168396472930908e-01,9.257243275642395020e-01,-5.392729043960571289e-01
2.502502501010894775e-01,9.430409073829650879e-01,-4.574356079101562500e-01,9.192563295364379883e-01,-5.584049224853515625e-01
2.602602541446685791e-01,9.384619593620300293e-01,-4.735679328441619873e-01,9.125462770462036133e-01,-5.772278308868408203e-01
2.702702581882476807e-01,9.337215423583984375e-01,-4.895116984844207764e-01,9.055978655815124512e-01,-5.957376956939697266e-01
2.802802622318267822e-01,9.288215041160583496e-01,-5.052648186683654785e-01,8.984147906303405762e-01,-6.139305830001831055e-01
2.902902960777282715e-01,9.237638115882873535e-01,-5.208252668380737305e-01,8.910008668899536133e-01,-6.318027377128601074e-01
3.003003001213073730e-01,9.185503721237182617e-01,-5.361909270286560059e-01,8.833599686622619629e-01,-6.493504047393798828e-01
3.103103041648864746e-01,9.131830930709838867e-01,-5.513599514961242676e-01,8.754959702491760254e-01,-6.665701270103454590e-01
3.203203082084655762e-01,9.076640009880065918e-01,-5.663304328918457031e-01,8.674128055572509766e-01,-6.834584474563598633e-01
3.303303122520446777e-01,9.019950032234191895e-01,-5.811004638671875000e-01,8.591145277023315430e-01,-7.000121474266052246e-01
3.403403162956237793e-01,8.961781859397888184e-01,-5.956683158874511719e-01,8.506051898002624512e-01,-7.162281274795532227e-01
3.503503501415252686e-01,8.902155160903930664e-01,-6.100322604179382324e-01,8.418888449668884277e-01,-7.321034073829650879e-01
3.603603541851043701e-01,8.841090798377990723e-01,-6.241905093193054199e-01,8.329697251319885254e-01,-7.476350069046020508e-01
3.703703582286834717e-01,8.778609037399291992e-01,-6.381415128707885742e-01,8.238520026206970215e-01,-7.628202438354492188e-01
3.803803622722625732e-01,8.714731335639953613e-01,-6.518836021423339844e-01,8.145399093627929688e-01,-7.776565551757812500e-01
3.903903663158416748e-01,8.649477958679199219e-01,-6.654152870178222656e-01,8.050377368927001953e-01,-7.921414971351623535e-01
4.004004001617431641e-01,8.582869768142700195e-01,-6.787350773811340332e-01,7.953497767448425293e-01,-8.062727451324462891e-01
4.104104042053222656e-01,8.514928221702575684e-01,-6.918414831161499023e-01,7.854804396629333496e-01,-8.200480341911315918e-01
4.204204082489013672e-01,8.445674777030944824e-01,-7.047331929206848145e-01,7.754341363906860352e-01,-8.334653973579406738e-01
4.304304420948028564e-01,8.375130891799926758e-01,-7.174088358879089355e-01,7.652152180671691895e-01,-8.465229272842407227e-01
4.404404461383819580e-01,8.303318023681640625e-01,-7.298671007156372070e-01,7.548282742500305176e-01,-8.592187762260437012e-01
4.504504501819610596e-01,8.230258226394653320e-01,-7.421067953109741211e-01,7.442777156829833984e-01,-8.715513348579406738e-01
4.604604542255401611e-01,8.155973553657531738e-01,-7.541266679763793945e-01,7.335680723190307617e-01,-8.835191130638122559e-01
4.704704582691192627e-01,8.080485463142395020e-01,-7.659256458282470703e-01,7.227038741111755371e-01,-8.951207399368286133e-01
